trial,ensemble_size,test_mse,test_mae,test_r2,test_pearson,test_corr2
baseline,1,7.613557815551758,2.1981844902038574,0.7905530914046053,0.8898457949146208,0.7918255387272334
baseline,2,5.820645809173584,1.9162311553955078,0.8398756134228297,0.9165929024415249,0.8401425488061788
baseline,3,5.0982279777526855,1.789487600326538,0.8597491432396737,0.9278548540828918,0.8609146302451844
baseline,4,4.637403964996338,1.7003743648529053,0.87242628335686,0.9347472238977528,0.8737523725845555
baseline,5,4.496196269989014,1.6711604595184326,0.8763108614544977,0.9371185982392429,0.8781912671658836
dropout_005,1,7.602375030517578,2.207951784133911,0.7908607274296426,0.8941350048783021,0.7994774069487214
dropout_005,2,6.314118385314941,2.002194404602051,0.8263003263335926,0.9127575780871925,0.8331263963555973
dropout_005,3,5.680451393127441,1.8902618885040283,0.8437323339540239,0.9212318920773914,0.8486681989804905
dropout_005,4,5.398563385009766,1.8343092203140259,0.851486977228471,0.9255700920522933,0.8566799953016908
dropout_005,5,5.357210159301758,1.8276711702346802,0.8526246119692206,0.926506130435152,0.8584136097339188
curriculum,1,7.639315128326416,2.1797478199005127,0.7898445209026626,0.8906649431322249,0.7932840409247294
curriculum,2,5.595592975616455,1.8561949729919434,0.8460667709614109,0.919912707279567,0.8462393890144223
curriculum,3,4.775300025939941,1.7111897468566895,0.8686327977807093,0.9321627280235941,0.8689273515163891
curriculum,4,4.631598472595215,1.6791870594024658,0.872585997807265,0.934499248113485,0.8732888447246687
curriculum,5,4.590436935424805,1.6670376062393188,0.8737183366125866,0.9352491297756373,0.874690934746087
