trial,student_seed,epochs,fine_tune_epochs,lr,batch,hidden,schedule,train_gamma,lbfgs_steps,weight_decay,dropout,elapsed_seconds,calibration_slope,calibration_intercept,test_r2_affine,train_mse,train_mae,train_r2,train_pearson,train_corr2,test_mse,test_mae,test_r2,test_pearson,test_corr2,relL2_mean,cos_std_mean,cos_pos_mean,act_corr_mean,act_cosine_mean,act_r2
oracle_clone,24000,0,0,0.002,512,64,constant,6.0,0,0.0,0.0,0.0,1.0000000025289704,1.7537494223553671e-06,0.9999999999997813,1.019986612532664e-11,2.5653362172306515e-06,0.9999999999997167,0.9999999999999002,0.9999999999998004,1.1107521152853295e-11,2.6556383545539575e-06,0.9999999999996945,0.9999999999998908,0.9999999999997815,0.0,1.0000000139077505,1.0000000139077505,0.999999980131785,1.0,1.0
baseline,9000,120,0,0.002,512,64,constant,6.0,0,0.0,0.0,5.720506082987413,1.0165937430840843,0.05842188036656953,0.7891653917276187,4.74205207824707,1.7310550212860107,0.8682650017916095,0.9319807789212818,0.8685881722787192,7.613557815551758,2.1981844902038574,0.7905530914046053,0.8898457949146208,0.7918255387272334,0.8589941877871752,0.07105992091819643,0.23818268954443436,0.06919959396485259,0.10254160314798355,-18.034351348876953
baseline,9001,120,0,0.002,512,64,constant,6.0,0,0.0,0.0,5.321756416989956,1.0140920416045103,0.10696857589445931,0.799932721332062,4.326395511627197,1.651746392250061,0.8798120256289792,0.9382383009891161,0.8802911094429432,7.237794876098633,2.1479320526123047,0.8008902264652964,0.8954449064220401,0.8018215804371762,0.8481435393293698,0.09091396376801034,0.2519668777938932,0.14409515316365287,0.19434769451618195,-15.273447036743164
baseline,9002,120,0,0.002,512,64,constant,6.0,0,0.0,0.0,5.302684291964397,1.0254538719573172,-0.08127155539882312,0.8215926757649794,3.6862006187438965,1.5234681367874146,0.8975967476572666,0.9477999420200284,0.8983247300931692,6.444648265838623,2.006908893585205,0.8227094771633016,0.9072090697445919,0.8230282962268478,0.7789534448335568,0.23558639030670747,0.34805654515900336,0.23968711237733561,0.2484920620918274,-16.35015869140625
baseline,9003,120,0,0.002,512,64,constant,6.0,0,0.0,0.0,5.3639763329993,0.9865562968359026,-0.2609372980927171,0.8280704574020061,3.4805335998535156,1.4771853685379028,0.903310206951514,0.9515365164915479,0.9054217422168699,6.3878397941589355,2.000852584838867,0.8242722678565244,0.9109826693653997,0.8298894238841092,0.7803349028031031,0.20630709622055293,0.34368916396051646,0.21714387045552333,0.2107333391904831,-16.719993591308594
baseline,9004,120,0,0.002,512,64,constant,6.0,0,0.0,0.0,5.294844041985925,1.009801330458712,-0.2183390358829348,0.8080151308675303,3.991020917892456,1.5809874534606934,0.8891287871914259,0.943669133200866,0.8905114329560737,7.024437427520752,2.0968172550201416,0.8067596491358462,0.9000372705331802,0.8100670883488169,0.82207071185112,0.17212959945512316,0.30812806786658864,0.17196110629787048,0.19409586489200592,-17.159711837768555
dropout_005,9000,120,0,0.002,512,64,constant,6.0,0,0.0,0.05,5.743308582983445,1.061709088780542,0.5880634820234094,0.7982848162030644,5.193115711212158,1.8131107091903687,0.8557343838347313,0.9312285042038431,0.8671865270417269,7.602375030517578,2.207951784133911,0.7908607274296426,0.8941350048783021,0.7994774069487214,0.8264758271475633,0.14968303235170122,0.2941763363584566,0.13819710947573186,0.1800267994403839,-16.247480392456055
dropout_005,9001,120,0,0.002,512,64,constant,6.0,0,0.0,0.05,5.65874199999962,1.057841701035927,0.26353857769727296,0.7921001212074918,4.921226501464844,1.7612013816833496,0.8632875051875892,0.931453509973879,0.867605641242659,7.543728351593018,2.1718649864196777,0.7924740732323451,0.8908144074644866,0.7935503085463044,0.8546241030097008,0.07250074946011106,0.25569896725937724,0.12593652723977963,0.1873498558998108,-14.88901424407959
dropout_005,9002,120,0,0.002,512,64,constant,6.0,0,0.0,0.05,5.539883499965072,1.037613908835891,-0.1745805489073427,0.8167130876533422,4.275762557983398,1.638997197151184,0.8812186034757913,0.9397688992186959,0.8831655839387194,6.676185131072998,2.0421760082244873,0.8163399830757838,0.904031162555272,0.8172723428710367,0.7847306104997794,0.19688760048981446,0.32429071529768405,0.20767208271039028,0.24852700531482697,-15.403615951538086
dropout_005,9003,120,0,0.002,512,64,constant,6.0,0,0.0,0.05,5.662615999986883,1.0421925672414827,-0.025993823432499383,0.8026466380023393,4.370455741882324,1.6648167371749878,0.8785880182645511,0.9381085693506018,0.8800476878890329,7.14314079284668,2.1166446208953857,0.803494150890887,0.8965272355713919,0.803761084121282,0.8157243809352318,0.1587798774242401,0.30256475837280356,0.1716997666284442,0.1920080929994583,-16.182086944580078
